Test Case ID,Actor,Use Case,Test Type,Priority,Test Scenario,Preconditions,Steps to Execute,Test Data,Expected Result,Actual Result,Pass/Fail,Defect ID,Retest,Retest Count,Original Test Date,Retest Date,Retest Reason,Notes
TC-026,Admin,Generate Price Suggestion,ISO/IEC 25010 – Functional suitability (appropriateness),High,Suggest price based on recent demand with explanation,≥ 30 days sales; pricing module enabled,"1) Open Pricing
2) Select product
3) Generate suggestion",product=Banana,"Suggested price shown with reason codes (elasticity, R², demand ratio)",,,,,,,,,
TC-027,Admin,Low-Data Fallback,ISO/IEC 25010 – Functional suitability (appropriateness),Medium,Fallback elasticity used when observations are insufficient,< 15 observations,"1) Open Pricing for low-data product
2) Generate",obs=10,Default elasticity applied; confidence LOW in message,,,,,,,,,
TC-028,Admin,Pricing Constraints,ISO/IEC 25010 – Functional suitability (appropriateness),High,"Min margin, stock horizon, and max move enforced",min_margin configured; horizon=7d; max move=±20%,"1) Generate suggestion
2) Inspect output",cost=60; price=80; min_margin=10%,No suggestion violates constraints; action may be HOLD,,,,,,,,,
TC-029,Admin,Cooldown Respect,ISO/IEC 25010 – Reliability (availability & maturity),Medium,Cooldown blocks frequent price changes,Last change < cooldown_days,1) Generate suggestion for recently changed product,cooldown_days=3,Action shown as HOLD; explanation cites cooldown window,,,,,,,,,
TC-030,Admin,Apply Approved Price,ISO/IEC 25010 – Functional suitability (functional correctness),High,Price change is applied only after approval,Suggestion exists; Admin logged in,"1) Click Approve
2) Confirm action",N/A,Catalog price updated; change logged; optional SMS notification,,,,,,,,,
TC-031,Admin,Update Profile,ISO/IEC 25010 – Functional suitability (functional correctness),Low,Update contact information persists,User logged in,"1) Open Profile
2) Edit email/phone
3) Save",new_email=user2@example.com,Profile saved; confirmation shown,,,,,,,,,
TC-032,Admin,Change Password,ISO/IEC 25010 – Usability (operability & error protection),Medium,Password change requires old password and invalidates sessions,User knows current password,"1) Open Profile
2) Enter old/new passwords
3) Save",old=Valid#123; new=New#12345,Password updated; other sessions invalidated,,,,,,,,,
TC-033,System,Dashboard Load Time,ISO/IEC 25010 – Performance efficiency (time behaviour),High,Dashboard loads KPIs within target response time,DB seeded with 100k sales rows,"1) Login
2) Load Dashboard
3) Measure time",target ≤ 2.0s (p95),Measured time ≤ target; no timeouts,,,,,,,,,
TC-034,System,Report Generation Time,ISO/IEC 25010 – Performance efficiency (time behaviour),High,Daily report generates within SLA,1 day with 50k line items,"1) Open Reports
2) Generate Daily
3) Measure time",target ≤ 10s,Report generated within SLA; stored in D5,,,,,,,,,
TC-035,System,Concurrent Sales Capacity,ISO/IEC 25010 – Performance efficiency (capacity),High,System handles concurrent cashiers without deadlocks,Simulate 10 parallel users posting sales,"1) Start 10 concurrent sale sessions
2) Checkout simultaneously",users=10; overlap=80% SKUs,No deadlocks; success rate 100%; response p95 ≤ 3s; inventory consistent,,,,,,,,,
TC-036,System,Resource Utilization,ISO/IEC 25010 – Performance efficiency (resource utilization),Medium,"Under typical load, CPU/memory remain within limits",Monitoring enabled,"1) Run standard workload for 30 min
2) Observe metrics",cpu ≤ 70%; mem ≤ 75%,Utilization within limits; no thrashing,,,,,,,,,
TC-037,Admin,Error Messages Quality,ISO/IEC 25010 – Usability (operability & error protection),Medium,Validation errors are clear and help resolution,Form with multiple invalid fields,"1) Submit form with errors
2) Read messages",N/A,Messages specify field and rule; focus moves to first error,,,,,,,,,
TC-038,Admin,Learnability (First-time Use),ISO/IEC 25010 – Usability (learnability & recognizability),Low,First-time user completes key tasks without training,New user account,"1) Login first time
2) Add product
3) Add stock
4) Record sale",N/A,Tasks completed within expected time; no external help needed,,,,,,,,,
TC-039,System,Recoverability on App Restart,ISO/IEC 25010 – Reliability (fault tolerance & recoverability),High,Mid-transaction restart does not duplicate or lose confirmed sales,A sale is in progress,"1) Start sale
2) Force app restart after payment
3) Resume",N/A,Exactly one sale recorded; inventory consistent; user notified,,,,,,,,,
TC-040,System,Availability Window,ISO/IEC 25010 – Reliability (availability & maturity),Medium,Planned maintenance displays notice and preserves data integrity,Maintenance window defined,"1) Start maintenance mode
2) Attempt user actions",N/A,Read-only notice shown; writes blocked; no data loss,,,,,,,,,
TC-041,Admin,Config-Driven Thresholds,ISO/IEC 25010 – Maintainability (modifiability),Low,Low-stock threshold change via config reflects across modules,Admin access to settings,"1) Change threshold in Settings
2) Add stock/sales
3) Check Dashboard/Alerts",threshold from 20→30,Alerts and flags use new threshold without code change,,,,,,,,,
TC-042,QA,Diagnostics & Logs,ISO/IEC 25010 – Maintainability (testability/analysability),Low,Key actions write traceable logs for debugging,Logging enabled,"1) Add product/stock/sale
2) Generate report
3) Inspect logs",N/A,"Logs contain action IDs, user, timestamps, references for root-cause analysis",,,,,,,,,
TC-043,Unauthorized,Access Control,ISO/IEC 25010 – Security (confidentiality),High,Direct URL access redirects to login,User not authenticated,"1) Paste protected URL in browser",url=/dashboard,Access denied; redirect to /login,,,,,,,,,
TC-044,Secretary,Role-based Access,ISO/IEC 25010 – Security (integrity),High,Secretary blocked from Admin-only function,User logged in as Secretary,"1) Navigate to /products/add",N/A,403 Forbidden or redirect with error,,,,,,,,,
TC-045,Admin,Complete Workflow,ISO/IEC 25010 – Functional suitability (functional completeness),High,End-to-end product lifecycle works cleanly,Database clean,"1) Add product 2) Add stock 3) Record sale 4) Generate report",N/A,All steps succeed without errors; data consistent,,,,,,,,,
TC-046,System,Diagnostics & Logs,ISO/IEC 25010 – Maintainability (analysability),Low,Every key action writes traceable logs,Logging enabled,"1) Add product 2) Add stock 3) Record sale 4) Generate report",N/A,Logs contain action-ID, user, timestamp for each step,,,,,,,,,
TC-047,System,Recoverability on App Restart,ISO/IEC 25010 – Reliability (recoverability),High,Mid-transaction restart doesn’t duplicate or lose sale,A sale is in payment step,"1) Start payment 2) Simulate app restart 3) Resume",N/A,Exactly one sale stored; inventory correct; user sees recovery notice,,,,,,,,,
